Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Survived
3,0,0.42,0,1,2625,8.5167,0,1
2,0,0.67,1,1,250649,14.5,2,1
3,1,0.75,2,1,2666,19.2583,0,1
3,1,0.75,2,1,2666,19.2583,0,1
2,0,0.83,0,2,248738,29,2,1
2,0,0.83,1,1,29106,18.75,2,1
1,0,0.92,1,2,113781,151.55,2,1
3,0,1,4,1,3101295,39.6875,2,-1
3,1,1,1,1,347742,11.1333,2,1
2,0,1,2,1,230136,39,2,1
3,1,1,0,2,2653,15.7417,0,1
3,0,1,5,2,2144,46.9,2,-1
3,0,1,1,2,2315,20.575,2,1
2,0,1,0,2,2079,37.0042,0,1
3,0,2,3,1,349909,21.075,2,-1
3,0,2,4,1,382652,29.125,1,-1
3,1,2,4,2,347082,31.275,2,-1
3,1,2,0,1,347054,10.4625,2,-1
1,1,2,1,2,113781,151.55,2,-1
2,0,2,1,1,230080,26,2,1
3,1,2,0,1,3101298,12.2875,2,1
2,1,2,1,1,26360,26,2,1
3,1,2,3,2,347088,27.9,2,-1
3,0,2,4,1,3101295,39.6875,2,-1
2,1,3,1,2,2123,41.5792,0,1
2,0,3,1,1,230080,26,2,1
3,0,3,4,2,347077,31.3875,2,1
3,0,3,1,1,37671,15.9,2,1
3,1,3,3,1,349909,21.075,2,-1
2,0,3,1,1,29106,18.75,2,1
3,1,4,1,1,9549,16.7,2,1
3,0,4,3,2,347088,27.9,2,-1
3,0,4,4,1,382652,29.125,1,-1
3,1,4,0,2,315153,22.025,2,1
1,0,4,0,2,33638,81.8583,2,1
2,1,4,2,1,230136,39,2,1
3,1,4,0,1,349256,13.4167,0,1
2,1,4,1,1,29103,23,2,1
3,0,4,4,2,347082,31.275,2,-1
3,0,4,1,1,347742,11.1333,2,1
2,1,5,1,2,34651,27.75,2,1
3,1,5,4,2,347077,31.3875,2,1
3,1,5,2,1,2666,19.2583,0,1
3,1,5,0,0,364516,12.475,2,1
2,1,6,0,1,248727,33,2,1
3,0,6,0,1,392096,12.475,2,1
3,1,6,4,2,347082,31.275,2,-1
3,0,7,4,1,3101295,39.6875,2,-1
3,0,7,4,1,382652,29.125,1,-1
2,1,7,0,2,13529,26.25,2,1
3,1,8,3,1,349909,21.075,2,-1
2,1,8,0,2,31921,26.25,2,1
2,0,8,1,1,33112,36.75,2,1
3,0,8,4,1,382652,29.125,1,-1
3,1,9,2,2,6608,34.375,2,-1
3,0,9,0,2,363291,20.525,2,1
3,0,9,4,2,347077,31.3875,2,-1
3,0,9,5,2,2144,46.9,2,-1
3,0,9,1,1,37671,15.9,2,1
3,1,9,4,2,347082,31.275,2,-1
3,1,9,3,2,347088,27.9,2,-1
3,1,9,1,1,2678,15.2458,0,-1
3,1,10,0,2,345773,24.15,2,-1
3,0,10,3,2,347088,27.9,2,-1
3,0,11,5,2,2144,46.9,2,-1
3,1,11,4,2,347082,31.275,2,-1
3,0,11,0,0,2699,18.7875,0,-1
1,0,11,1,2,113760,120,2,1
3,0,12,1,0,2651,11.2417,0,1
2,1,13,0,1,250644,19.5,2,1
3,1,13,0,0,2687,7.2292,0,1
2,1,14,1,0,237736,30.0708,0,1
3,1,14,0,0,350406,7.8542,2,-1
3,1,14,1,0,2651,11.2417,0,1
1,1,14,1,2,113760,120,2,1
3,0,14,5,2,2144,46.9,2,-1
3,0,14,4,1,3101295,39.6875,2,-1
3,1,14.5,1,0,2665,14.4542,0,-1
3,1,15,0,0,330923,8.0292,1,1
3,0,15,1,1,2695,7.2292,0,-1
1,1,15,0,1,24160,211.3375,2,1
3,1,15,1,0,2659,14.4542,0,1
3,1,15,0,0,2667,7.225,0,1
3,1,16,5,2,2144,46.9,2,-1
3,0,16,1,3,6608,34.375,2,-1
3,0,16,0,0,7534,9.2167,2,-1
3,1,16,0,0,35851,7.7333,1,1
3,1,16,0,0,367231,7.75,1,1
3,0,16,0,0,392089,8.05,2,1
3,0,16,4,1,3101295,39.6875,2,-1
3,0,16,0,0,345778,9.5,2,-1
1,1,16,0,1,111361,57.9792,0,1
3,0,16,2,0,345764,18,2,-1
1,1,16,0,0,110152,86.5,2,1
3,0,16,0,0,4,8.05,2,-1
3,0,16,1,1,2673,20.25,2,-1
3,0,16,0,0,347074,7.775,2,-1
2,0,16,0,0,239865,26,2,-1
2,0,16,0,0,3,10.5,2,-1
1,1,16,0,1,17592,39.4,2,1
3,1,17,4,2,3101281,7.925,2,1
2,1,17,0,0,14885,10.5,2,1
3,1,17,0,0,2627,14.4583,0,-1
3,0,17,0,0,315093,8.6625,2,-1
1,1,17,1,0,17758,108.9,0,1
2,1,17,0,0,1748,12,0,1
3,0,17,0,0,2,7.125,2,-1
3,0,17,0,0,315086,8.6625,2,-1
3,0,17,1,1,2690,7.2292,0,-1
1,0,17,0,2,17421,110.8833,0,1
3,0,17,1,0,350048,7.0542,2,-1
1,1,17,1,0,17474,57,2,1
3,0,17,0,0,315090,8.6625,2,-1
3,1,18,2,0,345764,18,2,-1
3,1,18,1,0,349237,17.8,2,-1
2,0,18,0,0,231945,11.5,2,-1
3,0,18,1,1,350404,7.8542,2,-1
3,0,18,0,0,5,8.05,2,1
2,0,18,0,0,236171,13,2,-1
1,1,18,2,2,17608,262.375,0,1
3,0,18,1,0,3101267,6.4958,2,-1
2,0,18,0,0,14879,73.5,2,-1
2,1,18,0,2,250652,13,2,1
3,0,18,1,1,370129,20.2125,2,-1
1,0,18,1,0,17758,108.9,0,-1
1,1,18,0,2,110413,79.65,2,1
2,1,18,0,1,231919,23,2,1
3,1,18,0,0,365226,6.75,1,-1
3,0,18,0,0,349912,7.775,2,-1
3,1,18,0,0,4138,9.8417,2,1
3,0,18,0,0,350036,7.7958,2,-1
1,1,18,1,0,17757,227.525,0,1
3,1,18,0,1,2691,14.4542,0,-1
2,0,18,0,0,29108,11.5,2,-1
3,0,18,0,0,347078,7.75,2,-1
3,1,18,0,0,3101265,7.4958,2,1
3,1,18,0,0,347087,7.775,2,-1
3,0,18,0,0,2223,8.3,2,-1
3,1,18,0,1,392091,9.35,2,1
1,0,19,3,2,19950,263,2,-1
3,1,19,0,0,330958,7.8792,1,1
3,0,19,0,0,3464,8.1583,2,-1
